id,x,y,INFECTED
3912,74,28,no
4976,83,15,no
4118,58,63,no
9682,0,52,no
9326,69,24,no
5417,21,44,no
2862,45,18,no
7317,28,36,no
6205,57,92,no
9480,44,32,no
8572,84,7,no
8038,77,90,no
9991,9,59,no
8005,57,75,no
3690,3,66,no
8622,54,7,no
4193,61,96,no
1992,18,34,no
729,22,16,no
8376,42,6,no
48,61,56,no
450,74,8,no
4464,49,43,no
4298,15,17,no
5257,17,55,no
9814,1,16,no
5058,3,66,no
2003,26,84,no
4053,67,47,no
3257,69,37,no
5839,47,87,no
6356,2,22,no
8590,92,97,no
2574,13,80,no
6105,82,18,no
5317,46,35,no
3067,22,16,no
6533,55,35,no
2294,46,94,no
1245,35,15,no
955,82,44,no
4219,27,78,no
904,71,91,no
5227,37,0,no
5297,92,2,no
8771,69,76,no
4701,40,55,no
5836,16,81,no
749,26,42,no
1793,29,49,no
4630,14,45,no
2855,18,91,no
4688,67,91,no
3585,98,49,no
8634,13,80,no
684,79,21,no
3613,22,22,no
4116,25,25,no
8024,74,63,no
2236,24,78,no
7318,20,82,no
1687,93,14,no
2762,67,21,no
5852,64,14,no
8169,32,69,no
9899,21,36,no
5766,7,38,no
6248,10,7,no
1294,82,86,no
9095,13,3,no
2657,57,93,no
400,46,16,no
4946,18,4,no
204,2,20,no
6219,17,57,no
6309,25,33,no
2160,65,16,no
6527,65,75,no
6951,4,90,no
9345,18,44,no
6966,9,82,no
6108,7,67,no
9256,86,91,no
5977,89,70,no
8570,89,14,no
2508,55,53,no
2053,31,88,no
6926,2,30,no
7156,69,0,no
6618,2,18,no
1123,92,39,no
1627,67,95,no
3556,67,23,no
1128,3,60,no
831,40,13,no
1741,7,26,no
3931,28,86,no
4446,46,39,no
8006,64,36,no
8614,55,71,no
9881,99,79,no
8909,7,20,no
6536,15,71,no
5060,57,68,no
4115,42,99,no
543,16,1,no
3459,58,14,no
9700,39,41,no
4600,62,9,no
4180,45,1,no
5167,79,83,no
1871,59,31,no
3264,73,18,no
3094,4,72,no
8953,50,12,no
284,37,81,no
1695,83,20,no
9466,1,29,no
6130,82,3,no
6995,98,40,no
1675,91,18,no
3905,55,27,no
6048,85,12,no
3802,94,0,no
773,92,47,no
309,91,41,no
4329,21,6,no
704,54,31,no
1667,35,19,no
5232,98,23,no
1292,38,78,no
237,55,4,no
7354,42,47,no
3240,65,53,no
4831,23,60,no
8539,54,20,no
3834,74,36,no
7069,92,5,no
5767,4,46,no
9537,14,41,no
2276,3,76,no
4857,64,79,no
6123,72,72,no
7652,80,2,no
5244,35,70,no
1084,23,38,no
5104,3,20,no
3778,44,74,no
8384,34,41,no
792,2,54,no
7579,84,72,no
4724,66,94,no
7624,35,0,no
7210,36,36,no
8047,11,86,no
1376,66,59,no
3131,35,9,no
5241,65,91,no
6730,47,24,no
703,49,38,no
4921,7,18,no
1912,72,29,no
8267,36,36,no
6463,85,35,no
2083,21,35,no
3503,29,94,no
9446,53,16,no
991,50,76,no
3091,22,50,no
5024,67,98,no
847,40,52,no
6620,83,25,no
1446,72,14,no
4839,53,29,no
295,20,6,no
2010,35,32,no
3494,25,46,no
6285,98,86,no
1325,57,7,no
6158,5,19,no
4687,7,28,no
9663,88,91,no
9532,13,77,no
928,84,61,no
9788,97,41,no
8948,74,16,no
4580,86,50,no
6917,81,30,no
3449,28,56,no
2210,9,71,no
2039,57,82,no
4043,92,25,no
2861,34,27,no
9733,56,59,no
5456,1,78,no
6645,84,57,no
6568,19,69,no
3590,36,98,no
3025,40,11,no
3873,94,59,no
2938,38,47,no
1633,26,84,no
7848,0,90,no
4937,36,4,no
4931,0,39,no
5331,16,27,no
3105,56,43,no
7811,54,74,no
8425,99,43,no
5535,78,22,no
3938,55,90,no
1127,97,65,no
5019,82,51,no
8823,22,75,no
4141,23,87,no
3587,50,48,no
8598,71,64,no
9400,37,24,no
4246,45,71,no
2464,62,91,no
7266,18,36,no
9660,51,62,no
3959,19,65,no
8612,13,95,no
3714,70,19,no
6751,54,96,no
753,72,36,no
9468,49,23,no
4673,31,20,no
5833,39,50,no
7455,75,18,no
4321,84,81,no
1149,85,95,no
5418,40,34,no
5623,37,99,no
9790,63,94,no
6855,13,73,no
9302,64,37,no
9056,9,0,no
3328,41,1,no
9768,61,65,no
6518,22,87,no
7047,77,57,no
7949,81,19,no
8975,64,96,no
3445,46,18,no
9110,97,84,no
9530,57,96,no
3992,10,89,no
1611,62,20,no
8671,39,36,no
5195,81,24,no
145,49,14,no
9995,70,54,no
8423,87,58,no
6217,63,85,no
5359,46,21,no
1172,16,24,no
27,95,90,no
444,75,18,no
3658,45,42,no
374,66,4,no
2892,41,87,no
1843,25,80,no
9114,72,28,no
823,24,44,no
3980,10,16,no
7088,92,42,no
8340,20,69,no
2663,36,88,no
7329,3,52,no
6794,13,29,no
4275,37,79,no
7201,84,48,no
3379,27,2,no
6837,59,24,no
1582,34,43,no
5467,65,28,no
6901,93,25,no
5709,94,56,no
6771,11,9,no
8296,98,93,no
1458,32,76,no
5579,34,15,no
5182,55,4,no
8831,45,71,no
9594,96,86,no
6023,79,0,no
2771,43,29,no
7381,54,30,no
1981,68,90,no
6511,25,59,no
6584,44,6,no
8268,19,6,no
7588,86,83,no
5729,56,8,no
3110,18,55,no
8135,24,51,no
417,48,12,no
5861,84,86,no
1102,83,63,no
4472,22,23,no
9354,9,63,no
6122,38,64,no
1364,51,7,no
5663,98,2,no
6762,45,70,no
9148,81,26,no
1856,70,65,no
8915,73,48,no
1988,1,74,no
1844,11,53,no
9559,96,51,no
4995,4,98,no
7148,52,39,no
8029,42,12,no
9643,49,37,no
4638,95,83,no
8310,10,4,no
805,80,81,no
1985,61,16,no
676,99,86,no
4175,47,60,no
2768,43,40,no
9994,7,90,no
7204,47,71,no
8890,91,9,no
3249,0,53,no
1572,49,19,no
9041,24,55,no
9343,68,86,no
5768,92,72,no
4113,40,89,no
480,59,84,no
65,27,26,no
4568,42,81,no
5340,17,81,no
9411,3,50,no
3471,80,98,no
484,90,22,no
5198,14,63,no
2925,28,52,no
6880,70,58,no
8944,55,24,no
3039,46,42,no
9656,16,35,no
1440,0,45,no
3977,65,77,no
3884,53,97,no
2431,73,12,no
920,83,22,no
4939,1,58,no
2913,1,90,no
6902,76,26,no
6528,1,9,no
6156,50,16,no
1007,5,23,no
4983,89,97,no
2092,23,57,no
721,85,57,no
3777,79,10,no
3206,71,66,no
2957,67,78,no
953,87,56,no
2930,25,23,no
148,95,91,no
4385,31,9,no
8028,2,54,no
1903,89,22,no
996,98,36,no
2628,86,17,no
133,34,75,no
7340,96,39,no
9054,25,25,no
8150,76,97,no
5508,25,78,no
9579,99,92,no
553,87,56,no
8779,5,71,no
401,9,63,no
9161,2,20,no
2963,81,20,no
6879,66,21,no
4475,88,96,no
4955,98,77,no
9885,80,81,no
5855,17,33,no
6838,10,55,no
4153,33,27,no
2471,71,8,no
7388,61,20,no
6234,97,99,no
2919,6,85,no
7301,62,80,no
1011,80,55,no
3273,42,62,no
1018,65,10,no
520,37,83,no
494,60,52,no
602,89,66,no
8058,52,29,no
597,38,68,no
5447,90,33,no
3950,87,22,no
7478,86,55,no
921,9,78,no
7721,65,71,no
2094,42,45,no
1487,81,1,no
9233,26,23,no
2660,42,44,no
6585,2,31,no
1401,64,46,no
9879,52,42,no
3374,87,36,no
9584,44,92,no
1817,47,11,no
8394,80,90,no
8106,91,31,no
9118,43,70,no
4940,27,93,no
4102,75,18,no
1444,86,82,no
9959,54,17,no
6707,23,98,no
5592,35,43,no
8847,78,74,no
5640,27,18,no
4390,62,37,no
6888,25,73,no
3262,4,57,no
3602,95,63,no
3522,45,80,no
1932,5,15,no
8417,85,73,no
4716,0,70,no
9619,56,92,no
9356,6,2,no
6185,29,42,no
2822,82,54,no
6032,57,25,no
2105,86,0,no
1774,44,80,no
4110,45,56,no
3861,17,64,no
5415,36,49,no
690,44,14,no
8456,34,89,no
5034,9,9,no
5272,79,75,no
5279,45,41,no
4749,97,44,no
8048,98,41,no
9334,27,72,no
8132,49,35,no
1556,33,86,no
5750,11,30,no
5074,71,54,no
5790,96,20,no
2872,41,6,no
8473,45,17,no
6304,79,52,no
6148,82,32,no
6318,26,56,no
4284,75,29,no
4162,59,35,no
7699,86,98,no
436,1,13,no
7590,79,45,no
6877,70,41,no
4340,95,0,no
159,9,2,no
4961,73,21,no
2728,43,4,no
6714,41,58,no
1593,37,54,no
2399,86,69,no
7509,97,17,no
4874,98,78,no
4527,13,91,no
7707,66,48,no
1019,58,14,no
8705,93,12,no
8542,22,66,no
3924,82,35,no
9494,77,64,no
7926,1,28,no
4261,76,5,no
9687,37,77,no
8237,35,68,no
2358,57,96,no
3681,20,68,no
4262,55,66,no
6702,60,30,no
208,13,94,no
1955,68,19,no
6103,36,97,no
6933,37,88,no
5513,4,64,no
6899,83,31,no
2767,27,31,no
7706,64,46,no
9822,28,64,no
3899,52,43,no
222,59,84,no
6438,89,94,no
7433,87,30,no
3895,38,17,no
6636,4,64,no
9359,57,16,no
951,86,88,no
7874,22,65,no
2469,36,22,no
470,89,41,no
1166,3,15,no
3669,93,74,no
1339,20,62,no
9781,45,97,no
514,68,47,no
337,62,46,no
5350,56,21,no
2419,72,73,no
6713,21,2,no
3716,70,23,no
446,47,31,no
7326,70,2,no
804,4,19,no
1684,4,25,no
6948,71,7,no
7384,57,37,no
3956,52,69,no
5348,55,79,no
2505,42,64,no
3286,39,37,no
164,38,66,no
5022,27,76,no
5200,21,75,no
8872,56,50,no
8003,83,25,no
529,24,3,no
7526,55,58,no
3988,79,65,no
5423,64,98,no
5054,78,83,no
755,11,41,no
8027,44,61,no
8751,67,85,no
381,25,48,no
8672,40,10,no
5657,16,10,no
6441,71,9,no
4150,78,84,no
1686,60,59,no
5726,93,51,no
8242,27,99,no
9102,33,96,no
4269,14,99,no
9030,79,79,no
8628,32,81,no
5142,6,33,no
2286,5,40,no
998,65,9,no
9634,9,32,no
2802,67,87,no
3989,60,91,no
6430,11,89,no
1731,11,2,no
2309,83,62,no
1074,11,54,no
6479,43,53,no
2031,76,11,no
8643,5,66,no
1484,82,37,no
4540,16,83,no
1666,44,48,no
5551,76,54,no
8222,17,81,no
3532,78,70,no
4825,59,71,no
2275,65,97,no
6940,84,54,no
1888,99,52,no
8535,90,91,no
4975,21,23,no
6502,34,41,no
5804,71,60,no
5050,7,46,no
2307,65,73,no
3605,90,70,no
7596,68,90,no
7155,70,41,no
4622,65,54,no
8362,15,16,no
6970,82,51,no
7403,90,67,no
2057,51,33,no
2188,38,66,no
9864,97,40,no
4632,31,44,no
5770,77,63,no
318,8,53,no
2330,30,95,no
1197,73,99,no
7233,67,34,no
8033,24,28,no
7217,43,53,no
8414,63,6,no
6637,1,39,no
4408,69,79,no
8329,92,44,no
2093,9,8,no
489,41,24,no
1674,91,70,no
7561,67,4,no
8197,31,56,no
2494,36,30,no
3939,29,86,no
4501,7,9,no
2299,15,64,no
5463,93,22,no
2396,39,85,no
2238,97,37,no
2182,55,86,no
2886,70,22,no
2701,21,96,no
6041,22,82,no
8731,74,78,no
9824,2,19,no
195,51,2,no
4776,1,53,no
7010,99,87,no
7330,13,87,no
5622,49,9,no
2040,80,78,no
5298,99,56,no
5161,94,48,no
4911,0,66,no
9160,31,32,no
7697,38,63,no
6590,95,50,no
2969,1,50,no
6893,75,70,no
4837,34,0,no
1100,22,28,no
3399,50,60,no
5388,34,72,no
699,16,66,no
963,4,35,no
9604,49,70,no
200,45,45,no
8311,13,86,no
7154,21,86,no
8679,21,40,no
8264,39,19,no
8859,17,34,no
1160,63,95,no
1136,79,35,no
8684,13,86,no
2639,9,17,no
772,76,51,no
3295,5,60,no
8406,62,36,no
4508,62,13,no
5130,41,23,no
7222,34,6,no
4315,23,56,no
2718,79,86,no
5239,45,94,no
7070,81,20,no
7190,12,22,no
572,30,34,no
5149,90,6,no
2115,88,2,no
2062,93,33,no
862,32,17,no
5843,55,82,no
7571,40,72,no
2879,78,14,no
4057,92,77,no
5153,49,80,no
3784,71,92,no
6138,24,93,no
2987,85,79,no
9329,53,41,no
3375,71,58,no
1120,18,43,no
9195,6,10,no
5941,65,27,no
6167,50,74,no
3266,41,77,no
5185,72,56,no
3953,91,54,no
8936,16,73,no
6336,68,50,no
6021,37,71,no
4200,17,66,no
8299,83,53,no
3582,55,29,no
7002,88,49,no
2450,3,97,no
2388,83,56,no
1411,39,73,no
7303,71,7,no
9673,51,19,no
7060,91,45,no
882,5,41,no
744,12,29,no
4575,45,47,no
4062,13,24,no
1244,94,54,no
4636,34,37,no
7778,61,75,no
6972,7,37,no
3892,4,77,no
9337,86,62,no
1717,51,65,no
2507,62,25,no
7554,86,55,no
4151,49,95,no
9641,29,45,no
6580,29,87,no
7276,5,60,no
7922,67,55,no
2152,12,67,no
4019,75,41,no
7715,23,46,no
7841,40,49,no
7396,45,21,no
1737,67,44,no
460,99,21,no
4565,95,92,no
4361,53,87,no
359,60,94,no
6394,99,49,no
1788,33,79,no
5271,69,69,no
9173,65,5,no
4589,13,83,no
1490,47,79,no
7568,72,45,no
1576,70,7,no
3398,51,0,no
2360,68,38,no
5234,7,60,no
2418,24,89,no
4334,44,81,no
7347,30,56,no
266,56,70,no
2473,22,54,no
3213,6,93,no
2853,99,95,no
6275,29,97,no
2978,60,16,no
5922,76,11,no
4735,91,20,no
2889,80,53,no
1368,56,40,no
2096,1,11,no
5644,10,33,no
3199,18,13,no
9309,85,24,no
2865,50,53,no
474,45,4,no
4616,68,64,no
4705,42,10,no
9766,65,16,no
3223,4,81,no
4394,67,94,no
9877,74,71,no
7481,43,14,no
9149,65,63,no
1185,43,65,no
1676,99,3,no
5753,17,75,no
5603,28,27,no
3720,67,70,no
3827,10,11,no
7206,30,45,no
2986,11,99,no
4342,85,23,no
2551,83,6,no
5424,24,31,no
6395,39,10,no
7078,30,13,no
9572,10,87,no
9169,4,22,no
3186,90,80,no
182,45,16,no
4301,72,85,no
9536,47,65,no
7208,78,97,no
4519,60,19,no
5,34,23,no
5286,9,36,no
8042,14,15,no
5954,46,35,no
8519,73,0,no
3591,18,99,no
2619,37,13,no
9662,55,95,no
4348,53,61,no
7494,75,32,no
4860,97,61,no
5155,46,41,no
5213,58,65,no
6091,86,58,no
6764,67,28,no
8761,35,81,no
9187,28,35,no
7781,80,36,no
4070,47,39,no
1579,88,88,no
2965,57,59,no
8668,87,68,no
5853,57,42,no
1186,34,69,no
5745,65,12,no
6193,51,19,no
1823,30,49,no
947,20,4,no
9438,22,77,no
2994,16,66,no
3441,50,5,no
6073,13,70,no
4618,2,29,no
1025,32,58,no
1094,97,23,no
3561,3,5,no
1225,27,25,no
2727,94,1,no
864,13,55,no
633,51,13,no
8718,23,46,no
2411,46,69,no
3615,55,12,no
7820,0,74,no
427,31,8,no
933,22,73,no
5226,33,34,no
7113,55,86,no
3036,28,70,no
9,96,87,no
8408,82,20,no
4480,87,64,no
3614,87,33,no
6943,21,82,no
1822,41,66,no
8468,52,8,no
9318,31,2,no
5759,48,82,no
2766,58,22,no
7458,88,15,no
442,36,58,no
3190,33,68,no
6598,38,97,no
832,96,92,no
6829,91,18,no
7496,50,38,no
6320,46,43,no
5033,1,93,no
5472,39,54,no
1495,95,99,no
8105,14,33,no
303,43,74,no
7128,39,86,no
8633,88,99,no
3280,68,96,no
4364,50,45,no
8555,47,79,no
9396,47,63,no
6381,29,13,no
2990,57,53,no
5132,98,44,no
2246,85,43,no
6187,43,11,no
3193,68,44,no
6973,27,9,no
1386,23,26,no
3664,32,21,no
3733,59,98,no
5443,18,39,no
9823,94,68,no
2678,28,17,no
2905,47,80,no
2442,12,51,no
6030,62,23,no
1323,95,62,no
8111,96,31,no
1486,47,6,no
8830,49,96,no
857,28,48,no
1601,52,25,no
6374,52,39,no
2303,68,6,no
2950,80,91,no
5229,78,58,no
9645,65,57,no
9799,52,81,no
3293,94,67,no
7279,86,36,no
7281,86,2,no
6952,57,47,no
4247,11,70,no
7613,65,57,no
4285,61,68,no
4811,22,69,no
2876,33,95,no
7916,15,60,no
1031,65,50,no
7671,40,21,no
4038,89,87,no
8203,62,33,no
4748,47,78,no
2370,69,20,no
2304,52,6,no
6327,5,66,no
7341,10,4,no
1051,61,54,no
8057,86,74,no
7464,97,55,no
5883,25,98,no
6210,74,62,no
2937,31,25,no
9555,6,44,no
4016,73,17,no
2873,75,91,no
5835,40,61,no
2741,72,90,no
646,95,69,no
8928,62,60,no
1470,7,20,no
1537,60,95,no
1804,47,54,no
910,62,66,no
5086,27,7,no
418,58,23,no
7741,19,83,no
2997,7,51,no
5868,42,34,no
5193,42,80,no
9985,67,57,no
5170,13,66,no
8210,0,40,no
431,18,15,no
5777,71,31,no
9522,86,71,no
5439,41,92,no
9896,41,26,no
659,6,4,no
4449,78,12,no
3252,46,46,no
8224,74,91,no
9083,72,80,no
723,36,72,no
8683,56,26,no
8413,95,75,no
7904,1,5,no
941,82,33,no
2143,15,62,no
7220,55,0,no
7299,67,53,no
6473,40,95,no
8780,18,93,no
3882,77,21,no
8285,95,1,no
5949,15,51,no
7530,14,93,no
2746,34,61,no
8785,15,9,no
4440,32,88,no
8744,20,32,no
9193,96,53,no
1706,14,59,no
4444,75,47,no
2467,23,8,no
4617,12,62,no
7536,50,7,no
2918,85,44,no
2434,49,12,no
4040,11,76,no
8104,13,14,no
4862,52,31,no
2063,35,16,no
9849,19,67,no
256,28,87,no
1953,71,60,no
5269,11,87,no
3182,33,59,no
8892,89,90,no
8358,54,63,no
9689,92,2,no
151,59,25,no
6731,91,5,no
1713,79,83,no
6777,30,82,no
2850,1,91,no
5676,25,91,no
5489,8,6,no
6623,28,39,no
1320,46,90,no
9988,37,36,no
2071,69,77,no
1145,58,10,no
1418,87,61,no
6334,81,49,no
9325,64,12,no
4552,89,27,no
8130,9,32,no
7331,22,45,no
2868,54,21,no
4587,37,73,no
8722,97,75,no
5454,90,81,no
2197,46,37,no
876,60,25,no
6560,6,62,no
7992,44,48,no
6779,86,83,no
9071,10,96,no
908,42,23,no
3519,4,34,no
7171,78,20,no
9382,38,50,no
4382,79,3,no
8367,79,94,no
1469,30,95,no
5231,11,26,no
2648,78,94,no
1194,50,28,no
4910,65,32,no
4416,89,94,no
778,82,96,no
8046,30,54,no
8475,72,88,no
2636,11,99,no
7844,78,74,no
6179,53,60,no
5394,16,70,no
7862,40,74,no
2542,2,53,no
5471,97,13,no
4137,88,11,no
4458,39,16,no
1810,40,44,no
2291,3,13,no
5162,36,84,no
6677,38,81,no
4515,63,43,no
2158,78,96,no
9262,27,20,no
1510,22,84,no
1348,19,5,no
6723,37,61,no
1689,17,45,no
5101,14,0,no
1251,28,10,no
7737,71,82,no
4814,76,81,no
7143,64,58,no
4541,16,45,no
8937,61,36,no
4021,4,21,no
5907,69,49,no
2437,92,80,no
5399,8,46,no
7818,31,12,no
5902,9,41,no
7673,49,54,no
6750,66,78,no
5327,46,68,no
9622,28,81,no
1144,35,44,no
2962,27,4,no
3453,46,31,no
3818,63,0,no
5617,15,36,no
6653,89,35,no
5087,49,95,no
6089,32,67,no
8916,36,79,no
8792,87,72,no
9437,41,63,no
5490,74,42,no
4964,98,54,no
7342,13,33,no
452,47,10,no
5653,99,76,no
1677,40,44,no
91,61,91,no
9106,61,33,no
695,45,9,no
8537,57,57,no
9469,37,92,no
1960,24,26,no
1998,90,43,no
6597,2,20,no
8102,55,48,no
2609,56,24,no
2777,88,96,no
7948,63,31,no
1365,2,13,no
802,24,87,no
6382,6,36,no
9900,95,64,no
4314,1,1,no
9978,31,66,no
7135,55,80,no
1570,15,3,no
259,30,10,no
8812,0,66,no
6240,18,47,no
9166,97,20,no
2804,81,54,no
388,51,86,no
2566,72,85,no
9699,61,4,no
1423,22,64,no
4787,65,20,no
5938,64,77,no
8309,69,46,no
8403,52,42,no
5673,16,88,no
4505,24,80,no
5798,61,55,no
2318,30,93,no
791,82,46,no
1277,14,41,no
4197,69,22,no
2248,97,3,no
8800,41,53,no
3919,95,10,no
1430,51,76,no
3420,1,54,no
7657,71,21,no
5225,32,78,no
3875,61,58,no
4934,16,93,no
2941,66,81,no
962,4,45,no
7760,4,5,no
1913,41,85,no
4920,28,51,no
5528,17,5,no
3021,41,33,no
5021,62,80,no
7234,26,29,no
7419,97,99,no
4001,27,87,no
8876,54,48,no
4088,95,29,no
5637,4,95,no
5901,72,46,no
3041,44,29,no
8583,76,29,no
2760,36,13,no
9270,13,3,no
1045,39,14,no
2189,8,39,no
9681,8,59,no
6034,91,87,no
9859,48,94,no
1081,4,53,no
8211,91,14,no
4734,82,99,no
6480,20,92,no
748,65,38,no
6351,60,72,no
939,91,56,no
137,22,90,no
8759,8,32,no
9678,61,32,no
4412,93,64,no
7127,34,64,no
7952,82,70,no
8525,62,84,no
362,39,0,no
3470,37,83,no
3809,7,58,no
7441,54,2,no
5567,23,44,no
8488,20,12,no
7521,6,75,no
1410,87,94,no
4453,25,95,no
9407,70,44,no
1211,93,25,no
8849,60,36,no
8007,30,26,no
8939,75,33,no
9860,65,7,no
930,67,29,no
3987,37,86,no
1181,42,81,no
1476,44,0,no
1906,50,42,no
6152,44,79,no
340,84,64,no
2798,98,57,no
7539,44,88,no
4963,56,28,no
275,62,79,no
4144,61,56,no
6102,99,67,no
9295,46,19,no
8998,27,35,no
232,61,46,no
9868,39,31,no
3256,18,3,no
9311,28,40,no
9450,23,9,no
9542,3,88,no
8903,60,43,no
5574,0,35,no
8388,62,98,no
5405,30,20,no
6942,89,85,no
9882,82,89,no
756,49,18,no
2448,75,88,no
6932,19,41,no
640,28,7,no
1869,8,79,no
1625,60,39,no
7055,93,82,no
1781,18,89,no
7765,94,37,no
8655,76,93,no
1230,76,43,no
2834,77,17,no
1143,40,98,no
9154,70,50,no
9485,20,26,no
4971,20,19,no
1702,26,95,no
7126,56,18,no
7323,69,91,no
1542,21,91,no
8014,81,41,no
1290,12,54,no
8786,45,93,no
5160,8,93,no
8908,42,38,no
3353,83,6,no
3112,27,12,no
3609,30,71,no
9639,88,84,no
7896,75,26,no
2708,75,3,no
6801,13,56,no
