id,x,y
286,2,78
287,51,61
288,52,78
289,86,83
290,7,66
291,89,66
292,39,47
293,16,81
294,79,50
295,11,59
296,16,8
297,71,24
298,78,34
299,40,90
300,53,95
301,94,38
302,54,0
303,31,22
304,41,97
305,42,41
306,60,84
307,13,41
308,28,32
309,63,81
310,68,11
311,94,79
312,81,24
313,77,22
314,45,62
315,71,70
316,90,65
317,95,10
318,77,6
319,2,1
320,38,94
321,37,11
322,1,28
323,87,91
324,13,95
325,97,63
326,79,80
327,91,51
328,85,99
329,99,84
330,36,9
331,41,99
332,77,69
333,90,42
334,75,70
335,12,45
336,66,13
337,57,83
338,29,79
339,69,66
340,52,83
341,3,73
342,74,52
343,46,72
344,83,70
345,22,53
346,6,8
347,39,46
348,80,3
349,72,54
350,18,55
351,83,95
352,29,80
353,68,98
354,14,52
355,28,76
356,22,23
357,94,38
358,13,57
359,63,21
360,69,46
361,81,0
362,79,48
363,86,13
364,77,27
365,7,66
366,96,26
367,1,38
368,24,62
369,90,40
370,99,9
371,51,90
372,1,21
373,23,23
374,21,92
375,4,88
376,60,73
377,88,14
378,9,11
379,49,83
380,70,99
381,52,97
382,7,74
383,42,83
384,55,94
385,41,76
386,39,5
387,59,81
388,56,93
389,15,34
390,34,66
391,95,25
392,14,32
393,38,94
394,51,94
395,11,50
396,25,16
397,2,98
398,22,95
399,15,2
400,14,36
401,61,12
402,29,42
403,46,67
404,23,74
405,55,35
406,50,53
407,12,78
408,6,17
409,68,70
410,92,73
411,31,57
412,69,61
413,11,67
414,76,58
415,25,10
416,36,87
417,16,29
418,62,16
419,37,83
420,88,19
421,40,40
422,93,44
423,21,89
424,32,14
425,68,9
426,37,72
427,7,42
428,49,59
429,44,33
430,13,9
431,65,39
432,95,90
433,7,60
434,29,98
435,21,64
436,31,84
437,63,33
438,59,39
439,37,35
440,58,91
441,52,80
442,29,58
443,43,53
444,14,16
445,81,56
446,44,30
447,46,65
448,3,78
449,51,7
450,5,58
451,71,4
452,82,86
453,47,21
454,64,31
455,41,57
456,75,70
457,81,19
458,26,55
459,90,12
460,63,28
461,59,99
462,73,5
463,32,78
464,91,59
465,27,98
466,6,62
467,80,53
468,67,0
469,54,89
470,66,75
471,92,31
472,38,9
473,42,70
474,49,34
475,56,74
476,43,68
477,18,70
478,63,93
479,48,43
480,58,24
481,54,20
482,65,95
483,99,92
484,61,77
485,51,65
486,25,89
487,46,36
488,82,37
489,70,14
490,17,27
491,0,43
492,80,56
493,93,15
494,61,48
495,57,13
496,68,43
497,68,10
498,46,36
499,84,52
500,19,35
501,34,67
502,63,17
503,72,60
504,47,97
505,24,5
506,91,17
507,35,78
508,93,71
509,4,2
510,6,44
511,97,22
512,42,50
513,63,45
514,12,43
515,80,86
516,62,88
517,50,60
518,19,46
519,82,92
520,31,28
521,62,20
522,75,68
523,31,44
524,62,30
525,65,49
526,16,4
527,84,6
528,82,35
529,94,76
530,64,74
531,23,18
532,60,83
533,19,10
534,55,19
535,44,88
536,93,75
537,65,38
538,13,10
539,0,83
540,59,59
541,28,12
542,79,93
543,66,3
544,43,77
545,96,9
546,1,0
547,99,85
548,57,3
549,6,89
550,95,39
551,5,36
552,41,83
553,35,20
554,10,3
555,48,25
556,44,82
557,88,66
558,3,48
559,86,31
560,22,78
561,28,55
562,20,51
563,46,36
564,42,72
565,15,34
566,16,7
567,22,67
568,47,19
569,92,92
570,53,43
571,79,98
572,69,24
573,44,35
574,73,24
575,96,11
576,58,19
577,28,99
578,48,26
579,6,45
580,10,23
581,51,57
582,52,9
583,13,37
584,28,75
585,46,83
586,33,1
587,19,52
588,60,97
589,70,51
590,56,4
591,99,24
592,68,67
593,53,20
594,11,11
595,73,33
596,7,23
597,73,0
598,19,70
599,72,23
600,83,61
601,12,5
602,47,61
603,37,64
604,63,28
605,71,62
606,89,23
607,40,86
608,1,18
609,94,35
610,74,95
611,2,78
612,17,23
613,7,92
614,9,95
615,9,58
616,76,85
617,95,88
618,94,36
619,0,24
620,13,71
621,53,22
622,29,49
623,70,96
624,35,18
625,25,28
626,31,50
627,63,42
628,29,48
629,82,50
630,89,69
631,80,66
632,99,97
633,28,90
634,50,64
635,95,90
636,13,57
637,26,36
638,96,40
639,36,41
640,32,43
641,25,14
642,40,33
643,75,42
644,37,70
645,26,24
646,57,35
647,97,84
648,59,45
649,87,46
650,12,52
651,24,47
652,14,93
653,12,91
654,57,78
655,90,9
656,6,47
657,22,16
658,35,0
659,34,58
660,24,89
661,61,82
662,29,70
663,23,37
664,91,52
665,74,77
666,92,18
667,72,88
668,5,61
669,30,84
670,22,24
671,42,56
672,49,33
673,51,53
674,42,12
675,87,91
676,27,77
677,46,4
678,67,62
679,5,20
680,24,88
681,48,21
682,13,43
683,83,27
684,4,7
685,78,10
686,54,93
687,66,72
688,84,42
689,72,43
690,11,45
691,21,60
692,98,43
693,52,56
694,51,87
695,34,98
696,87,47
697,40,94
698,8,81
699,10,42
700,53,52
701,2,1
702,87,82
703,78,7
704,45,28
705,95,3
706,70,67
707,14,71
708,22,27
709,39,15
710,27,58
711,71,46
712,27,82
713,34,27
714,52,2
715,83,98
716,71,30
717,27,80
718,13,30
719,17,66
720,89,23
721,92,95
722,58,44
723,57,11
724,0,10
725,53,83
726,81,73
727,38,11
728,46,15
729,47,33
730,12,37
731,11,92
732,94,80
733,8,25
734,15,23
735,10,89
736,4,85
737,38,27
738,28,64
739,79,39
740,45,94
741,67,99
742,93,78
743,72,25
744,11,80
745,79,69
746,73,66
747,93,29
748,14,76
749,33,39
750,59,94
751,55,60
752,59,23
753,64,56
754,53,18
755,7,46
756,71,18
757,73,22
758,34,48
759,38,91
760,16,74
761,2,12
762,2,45
763,90,94
764,12,29
765,70,57
766,7,72
767,16,39
768,44,42
769,13,62
770,51,72
771,63,72
772,13,89
773,61,71
774,78,8
775,9,24
776,23,31
777,38,9
778,47,5
779,19,86
780,88,41
781,82,79
782,41,15
783,72,93
784,4,66
785,28,30
786,66,86
787,73,37
788,85,83
789,67,23
790,20,38
791,80,16
792,59,86
793,44,50
794,50,21
795,74,17
796,41,84
797,24,63
798,42,22
799,7,75
800,15,58
801,62,78
802,81,75
803,67,60
804,1,47
805,93,8
806,41,57
807,12,25
808,79,88
809,41,78
810,71,6
811,42,15
812,95,77
813,36,94
814,99,81
815,21,38
816,85,68
817,83,62
818,77,38
819,99,80
820,59,68
821,9,0
822,93,54
823,1,77
824,35,54
825,27,47
826,32,62
827,68,60
828,72,53
829,83,82
830,7,12
831,47,86
832,12,83
833,36,37
834,21,94
835,87,1
836,85,85
837,15,92
838,3,30
839,2,82
840,69,81
841,74,74
842,65,47
843,93,64
844,69,62
845,51,89
846,18,82
847,97,68
848,3,1
849,36,71
850,3,54
851,46,56
852,62,65
853,2,29
854,45,27
855,46,83
856,17,30
857,15,55
858,0,37
859,59,19
860,4,93
861,2,94
862,43,43
863,99,86
864,96,47
865,62,76
866,79,28
867,22,6
868,80,94
869,55,32
870,42,49
871,71,38
872,34,40
873,30,44
874,6,10
875,28,87
876,83,93
877,81,81
878,87,79
879,46,73
880,67,20
881,55,1
882,11,5
883,65,4
884,37,88
885,45,30
886,68,82
887,5,9
888,1,47
889,81,17
890,9,60
891,57,1
892,79,93
893,36,8
894,5,15
895,43,87
896,44,72
897,85,26
898,47,55
899,84,73
900,84,74
901,66,45
902,13,74
903,82,60
904,15,44
905,50,67
906,12,13
907,13,10
908,26,69
909,61,86
910,23,56
911,40,60
912,74,97
913,43,1
914,24,27
915,88,59
916,40,12
917,41,42
918,1,3
919,2,57
920,62,67
921,91,71
922,63,5
923,89,87
924,59,44
925,67,23
926,82,4
927,59,4
928,97,61
929,27,7
930,93,60
931,39,83
932,28,74
933,80,21
934,76,21
935,90,2
936,42,82
937,33,2
938,43,34
939,45,81
940,73,61
941,92,26
942,26,35
943,59,40
944,25,80
945,68,32
946,93,2
947,95,0
948,80,30
949,27,22
950,94,35
951,1,16
952,61,79
953,16,98
954,92,79
955,47,66
956,55,5
957,92,72
958,64,72
959,50,41
960,38,48
961,99,59
962,71,37
963,5,67
964,90,36
965,13,22
966,92,78
967,31,91
968,54,74
969,95,3
970,34,65
971,20,95
972,22,77
973,6,32
974,51,0
975,20,42
976,10,83
977,75,96
978,27,73
979,15,62
980,43,4
981,81,77
982,5,56
983,92,8
984,2,70
985,30,24
986,64,82
987,42,11
988,57,43
989,28,27
990,0,97
991,99,66
992,22,81
993,97,24
994,56,21
995,77,77
996,96,28
997,42,26
998,70,90
999,82,64
1000,99,80
1001,6,55
1002,98,51
1003,59,24
1004,97,76
1005,84,27
1006,46,13
1007,55,9
1008,55,69
1009,36,50
1010,75,78
1011,5,88
1012,57,32
1013,35,69
1014,89,31
1015,63,80
1016,21,12
1017,53,93
1018,10,14
1019,10,8
1020,34,97
1021,27,91
1022,67,17
1023,48,26
1024,10,14
1025,49,37
1026,82,38
1027,71,56
1028,47,96
1029,23,3
1030,82,82
1031,33,90
1032,48,3
1033,82,73
1034,14,52
1035,60,84
1036,93,85
1037,12,79
1038,71,73
1039,85,55
1040,9,2
1041,55,1
1042,41,8
1043,86,6
1044,2,67
1045,90,62
1046,47,29
1047,72,24
1048,75,85
1049,34,25
1050,19,27
1051,53,20
1052,43,9
1053,59,7
1054,8,44
1055,19,79
1056,23,48
1057,7,93
1058,18,20
1059,0,29
1060,5,96
1061,55,39
1062,49,43
1063,64,19
1064,9,18
1065,15,25
1066,51,50
1067,58,62
1068,18,85
1069,84,72
1070,12,64
1071,32,72
1072,72,84
1073,59,70
1074,65,15
1075,25,77
1076,81,78
1077,20,25
1078,98,53
1079,19,71
1080,20,28
1081,60,32
1082,68,6
1083,52,41
1084,70,16
1085,12,27
1086,30,31
1087,10,25
1088,75,73
1089,86,41
1090,63,49
1091,24,4
1092,43,79
1093,33,76
1094,60,84
1095,18,3
1096,78,32
1097,19,20
1098,57,64
1099,0,46
1100,52,83
1101,64,3
1102,1,22
1103,48,73
1104,99,51
1105,40,87
1106,45,11
1107,83,11
1108,49,24
1109,94,67
1110,58,3
1111,13,6
1112,49,89
1113,64,10
1114,41,80
1115,72,68
1116,25,25
1117,60,92
1118,91,99
1119,21,46
1120,2,27
1121,74,97
1122,21,11
1123,53,40
1124,91,11
1125,34,94
1126,47,97
1127,88,9
1128,99,68
1129,13,46
1130,71,7
1131,61,81
1132,78,85
1133,59,19
1134,96,5
1135,54,15
1136,1,52
1137,14,43
1138,55,54
1139,92,27
1140,34,51
1141,53,60
1142,66,20
1143,24,77
1144,19,51
1145,94,56
1146,77,32
1147,86,15
1148,32,41
1149,34,22
1150,43,90
1151,86,97
1152,45,95
1153,40,99
1154,74,61
1155,44,25
1156,12,82
1157,51,90
1158,22,9
1159,12,54
1160,94,11
1161,61,38
1162,11,92
1163,42,55
1164,10,75
1165,91,32
1166,27,29
1167,19,9
1168,94,65
1169,35,17
1170,0,13
1171,87,30
1172,32,33
1173,49,36
1174,77,11
1175,61,2
1176,25,53
1177,64,13
1178,96,94
1179,45,16
1180,19,9
1181,85,25
1182,27,32
1183,80,11
1184,68,20
1185,48,60
1186,80,44
1187,8,83
1188,95,48
1189,98,36
1190,63,47
1191,54,13
1192,82,86
1193,16,9
1194,92,29
1195,36,51
1196,60,31
1197,71,45
1198,89,22
1199,58,43
1200,33,13
1201,67,13
1202,43,62
1203,15,19
1204,56,21
1205,44,4
1206,79,44
1207,4,48
1208,33,71
1209,60,38
1210,49,24
1211,45,99
1212,30,10
1213,72,0
1214,2,90
1215,88,46
1216,71,5
1217,13,47
1218,96,0
1219,28,55
1220,23,12
1221,72,25
1222,19,48
1223,74,17
1224,53,53
1225,31,40
1226,95,27
1227,3,51
1228,53,47
1229,13,97
1230,68,41
1231,52,17
1232,64,53
1233,82,86
1234,1,66
1235,20,65
1236,50,55
1237,19,30
1238,26,16
1239,12,23
1240,8,97
1241,77,98
1242,51,49
1243,54,41
1244,16,68
1245,89,27
1246,26,94
1247,73,39
1248,32,22
1249,69,54
1250,40,37
1251,71,93
1252,9,39
1253,83,94
1254,1,95
1255,82,66
1256,39,33
1257,51,30
1258,57,91
1259,25,70
1260,88,34
1261,12,88
1262,81,51
1263,18,19
1264,23,72
1265,31,68
1266,19,28
1267,45,48
1268,70,57
1269,75,69
1270,85,8
1271,99,24
1272,43,33
1273,74,61
1274,68,64
1275,90,79
1276,86,30
1277,4,6
1278,14,11
1279,57,92
1280,56,53
1281,56,84
1282,5,94
1283,40,91
1284,80,17
1285,71,15
1286,5,32
1287,34,53
1288,94,92
1289,3,64
1290,5,50
1291,63,24
1292,42,72
1293,95,80
1294,39,3
1295,30,53
1296,61,70
1297,38,69
1298,27,5
1299,41,28
1300,86,16
1301,24,76
1302,39,6
1303,72,83
1304,71,41
1305,64,81
1306,4,85
1307,24,5
1308,75,18
1309,79,88
1310,99,21
1311,38,9
1312,25,36
1313,65,59
1314,45,65
1315,84,95
1316,79,46
1317,67,56
1318,2,12
1319,90,14
1320,57,16
1321,60,6
1322,54,9
1323,26,45
1324,72,48
1325,49,22
1326,52,59
1327,83,34
1328,74,85
1329,91,52
1330,51,72
1331,27,62
1332,5,54
1333,29,59
1334,53,80
1335,65,43
1336,63,93
1337,44,23
1338,92,25
1339,83,29
1340,5,13
1341,31,97
1342,87,63
1343,46,35
1344,10,57
1345,16,14
1346,6,98
1347,58,14
1348,0,34
1349,71,94
1350,85,67
1351,68,97
1352,85,73
1353,3,14
1354,27,79
1355,48,78
1356,66,34
1357,71,79
1358,3,15
1359,4,16
1360,36,27
1361,10,15
1362,77,59
1363,73,33
1364,92,74
1365,71,87
1366,5,44
1367,47,88
1368,8,14
1369,70,94
1370,85,16
1371,43,12
1372,1,15
1373,72,54
1374,15,43
1375,26,60
1376,95,32
1377,0,14
1378,56,34
1379,8,52
1380,74,70
1381,38,68
1382,22,86
1383,54,4
1384,54,14
1385,86,34
1386,12,14
1387,81,36
1388,44,41
1389,89,6
1390,62,39
1391,73,19
1392,88,55
1393,68,99
1394,69,24
1395,28,1
1396,71,81
1397,62,73
1398,60,56
1399,35,84
1400,7,65
1401,31,89
1402,57,60
1403,43,89
1404,75,46
1405,66,5
1406,71,39
1407,87,55
1408,57,26
1409,82,0
1410,53,12
1411,37,87
1412,46,73
1413,85,80
1414,7,28
1415,94,7
1416,46,27
1417,70,30
1418,56,14
1419,9,16
1420,47,55
1421,98,2
1422,67,49
1423,4,94
1424,74,79
1425,25,43
1426,73,53
1427,86,39
1428,92,28
1429,90,64
1430,56,21
1431,29,29
1432,2,30
1433,33,86
1434,25,57
1435,53,7
1436,16,92
1437,28,14
1438,61,21
1439,96,22
1440,38,64
1441,44,68
1442,32,68
1443,72,96
1444,0,55
1445,19,10
1446,88,87
1447,70,61
1448,84,38
1449,81,72
1450,63,65
1451,72,29
1452,34,50
1453,8,64
1454,41,80
1455,11,66
1456,86,26
1457,17,75
1458,36,36
1459,80,27
1460,6,62
1461,48,4
1462,77,38
1463,74,73
1464,90,61
1465,75,36
1466,89,11
1467,59,46
1468,7,79
1469,47,81
1470,35,10
1471,96,30
1472,63,56
1473,42,46
1474,22,88
1475,19,51
1476,22,20
1477,74,14
1478,97,13
1479,66,99
1480,22,29
1481,57,34
1482,77,76
1483,55,10
1484,70,0
1485,44,57
1486,23,80
1487,69,94
1488,31,64
1489,1,99
1490,77,75
1491,70,6
1492,19,98
1493,71,0
1494,91,26
1495,9,81
1496,99,39
1497,83,16
1498,68,39
1499,12,7
1500,2,80
1501,32,18
1502,54,79
1503,42,69
1504,71,12
1505,44,91
1506,0,37
1507,70,34
1508,81,19
1509,0,24
1510,63,46
1511,13,55
1512,11,18
1513,54,73
1514,89,64
1515,54,97
1516,53,49
1517,24,0
1518,41,77
1519,81,80
1520,2,26
1521,21,71
1522,85,60
1523,92,22
1524,66,90
1525,56,14
1526,84,95
1527,4,5
1528,75,54
1529,87,98
1530,87,15
1531,87,53
1532,55,14
1533,98,89
1534,67,51
1535,28,45
1536,70,63
1537,64,97
1538,12,77
1539,68,15
1540,76,90
1541,53,63
1542,35,45
1543,17,48
1544,18,98
1545,79,19
1546,5,29
1547,48,0
1548,52,85
1549,61,25
1550,72,85
1551,0,11
1552,47,65
1553,61,75
1554,30,63
1555,18,75
1556,50,16
1557,74,77
1558,87,96
1559,13,9
1560,40,78
1561,45,40
1562,40,52
1563,27,85
1564,43,89
1565,48,99
1566,34,73
1567,80,38
1568,60,29
1569,17,36
1570,49,69
1571,60,63
1572,33,13
1573,50,81
1574,39,64
1575,28,33
1576,42,80
1577,32,71
1578,93,85
1579,43,65
1580,65,87
1581,34,45
1582,47,8
1583,70,8
1584,94,31
1585,39,26
1586,77,34
1587,6,17
1588,45,38
1589,16,44
1590,38,89
1591,85,50
1592,19,84
1593,23,53
1594,81,53
1595,99,42
1596,48,94
1597,84,60
1598,20,23
1599,28,52
1600,37,24
1601,78,70
1602,98,87
1603,93,44
1604,99,48
1605,49,68
1606,53,35
1607,56,33
1608,8,74
1609,9,67
1610,23,36
1611,47,46
1612,83,35
1613,3,40
1614,0,49
1615,3,46
1616,55,62
1617,14,91
1618,98,57
1619,24,15
1620,62,35
1621,38,94
1622,33,1
1623,34,96
1624,70,48
1625,21,41
1626,72,34
1627,73,31
1628,91,86
1629,52,26
1630,63,80
1631,50,28
1632,28,8
1633,82,39
1634,28,70
1635,37,71
1636,51,68
1637,67,71
1638,50,66
1639,43,78
1640,15,27
1641,83,79
1642,75,63
1643,25,15
1644,93,62
1645,71,70
1646,89,41
1647,97,44
1648,58,64
1649,56,5
1650,43,56
1651,98,90
1652,50,59
1653,64,5
1654,22,73
1655,78,29
1656,62,94
1657,82,66
1658,68,72
1659,61,67
1660,27,40
1661,21,2
1662,77,93
1663,31,52
1664,99,52
1665,63,32
1666,50,6
1667,59,98
1668,36,76
1669,83,21
1670,97,99
1671,13,66
1672,60,77
1673,77,79
1674,27,6
1675,14,73
1676,75,93
1677,88,37
1678,36,40
1679,46,38
1680,92,94
1681,13,89
1682,86,99
1683,18,2
1684,59,0
1685,2,14
1686,41,61
1687,38,11
1688,33,3
1689,37,52
1690,26,10
1691,11,78
1692,93,91
1693,45,93
1694,23,4
1695,93,34
1696,82,3
1697,95,77
1698,70,31
1699,32,38
1700,36,43
1701,96,84
1702,65,15
1703,63,40
1704,42,98
1705,28,97
1706,49,59
1707,17,38
1708,15,95
1709,79,73
1710,3,95
1711,51,12
1712,11,87
1713,57,77
1714,25,77
1715,65,3
1716,3,57
1717,53,64
1718,11,40
1719,66,97
1720,26,60
1721,62,96
1722,13,35
1723,56,33
1724,20,57
1725,89,96
1726,57,17
1727,57,25
1728,74,39
1729,69,31
1730,96,55
1731,23,26
1732,73,70
1733,52,54
1734,49,41
1735,96,30
1736,76,60
1737,28,5
1738,34,41
1739,9,12
1740,21,13
1741,92,57
1742,2,34
1743,20,32
1744,99,16
1745,43,35
1746,37,71
1747,11,76
1748,92,48
1749,81,29
1750,73,81
1751,60,39
1752,41,34
1753,21,90
1754,77,54
1755,89,6
1756,31,77
1757,18,84
1758,55,99
1759,47,61
1760,37,76
1761,53,86
1762,58,99
1763,94,32
1764,66,59
1765,65,11
1766,75,92
1767,86,45
1768,41,40
1769,45,88
1770,10,13
1771,89,74
1772,5,65
1773,39,50
1774,3,45
1775,2,12
1776,22,61
1777,1,98
1778,14,89
1779,60,48
1780,47,67
1781,91,2
1782,37,48
1783,89,86
1784,53,19
1785,95,91
1786,28,63
1787,29,53
1788,68,92
1789,31,96
1790,28,39
1791,86,54
1792,38,43
1793,55,18
1794,14,71
1795,89,47
1796,54,14
1797,19,46
1798,88,78
1799,15,66
1800,9,36
1801,85,46
1802,99,71
1803,28,32
1804,58,18
1805,83,44
1806,37,66
1807,67,91
1808,74,10
1809,6,71
1810,98,52
1811,56,16
1812,82,41
1813,31,17
1814,59,12
1815,31,8
1816,56,13
1817,52,66
1818,97,40
1819,26,28
1820,28,51
1821,6,95
1822,54,35
1823,70,29
1824,95,96
1825,76,74
1826,27,78
1827,88,93
1828,83,9
1829,21,54
1830,18,28
1831,16,25
1832,0,90
1833,68,46
1834,39,28
1835,56,15
1836,11,87
1837,21,1
1838,58,99
1839,91,28
1840,79,6
1841,49,13
1842,27,34
1843,41,62
1844,45,80
1845,43,77
1846,9,81
1847,41,53
1848,69,39
1849,20,40
1850,55,85
1851,1,47
1852,43,27
1853,54,82
1854,40,91
1855,40,62
1856,40,26
1857,6,19
1858,44,83
1859,8,72
1860,31,74
1861,11,53
1862,8,68
1863,78,70
1864,36,1
1865,53,88
1866,49,38
1867,79,68
1868,29,87
1869,98,48
1870,45,99
1871,45,91
1872,36,99
1873,23,61
1874,25,81
1875,46,86
1876,97,80
1877,64,65
1878,49,19
1879,8,49
1880,25,60
1881,60,30
1882,58,72
1883,52,53
1884,7,51
1885,88,25
1886,6,16
1887,90,19
1888,19,5
1889,53,68
1890,93,7
1891,70,23
1892,34,55
1893,87,97
1894,84,7
1895,20,91
1896,96,65
1897,0,9
1898,56,51
1899,72,43
1900,56,66
1901,42,26
1902,62,42
1903,66,46
1904,88,28
1905,54,82
1906,62,63
1907,66,38
1908,26,97
1909,41,71
1910,55,39
1911,37,11
1912,85,36
1913,61,52
1914,36,10
1915,77,90
1916,13,31
1917,62,12
1918,81,16
1919,74,21
1920,75,40
1921,15,21
1922,1,5
1923,91,93
1924,3,20
1925,84,63
1926,14,79
1927,34,98
1928,14,22
1929,14,60
1930,33,51
1931,15,63
1932,99,81
1933,73,35
1934,4,14
1935,55,31
1936,64,75
1937,35,71
1938,98,81
1939,65,20
1940,46,63
1941,36,41
1942,36,8
1943,19,32
1944,7,24
1945,6,50
1946,80,63
1947,34,23
1948,90,33
1949,9,94
1950,80,21
1951,74,5
1952,97,82
1953,59,93
1954,32,45
1955,4,95
1956,6,19
1957,77,41
1958,51,19
1959,53,69
1960,78,77
1961,54,81
1962,93,3
1963,23,14
1964,23,46
1965,10,46
1966,65,50
1967,96,47
1968,13,3
1969,45,53
1970,75,69
1971,92,49
1972,31,94
1973,33,59
1974,20,92
1975,19,75
1976,37,98
1977,80,35
1978,55,87
1979,90,95
1980,22,36
1981,17,89
1982,57,60
1983,32,38
1984,58,58
1985,30,99
1986,10,46
1987,39,11
1988,85,46
1989,7,99
1990,54,50
1991,59,49
1992,67,62
1993,80,51
1994,41,97
1995,69,62
1996,57,70
1997,21,37
1998,94,35
1999,54,27
2000,7,73
2001,23,9
2002,74,76
2003,70,37
2004,22,55
2005,41,75
2006,94,68
2007,50,76
2008,52,77
2009,56,94
2010,65,40
2011,51,6
2012,56,25
2013,85,34
2014,64,4
2015,2,63
2016,31,60
2017,17,32
2018,50,22
2019,88,37
2020,46,37
2021,63,6
2022,93,56
2023,48,80
2024,59,58
2025,32,51
2026,8,57
2027,5,11
2028,99,96
2029,43,85
2030,43,9
2031,0,4
2032,8,27
2033,23,24
2034,68,3
2035,41,53
2036,25,43
2037,74,87
2038,24,71
2039,76,68
2040,8,12
2041,8,45
2042,4,28
2043,34,83
2044,65,81
2045,28,30
2046,98,60
2047,34,69
2048,28,23
2049,49,64
2050,22,42
2051,58,73
2052,77,56
2053,53,93
2054,92,53
2055,46,50
2056,42,15
2057,78,96
2058,15,97
2059,93,59
2060,3,68
2061,5,4
2062,6,0
2063,4,87
2064,79,29
2065,17,79
2066,41,88
2067,67,70
2068,8,57
2069,19,51
2070,51,53
2071,22,77
2072,31,72
2073,48,51
2074,88,80
2075,0,61
2076,5,13
2077,44,33
2078,98,66
2079,81,70
2080,63,88
2081,60,1
2082,21,33
2083,77,36
2084,95,20
2085,86,13
2086,75,25
2087,85,74
2088,20,12
2089,54,96
2090,29,30
2091,62,37
2092,44,37
2093,29,95
2094,60,45
2095,54,17
2096,94,28
2097,90,75
2098,47,0
2099,24,30
2100,12,4
2101,72,19
2102,27,56
2103,72,58
2104,77,44
2105,77,27
2106,11,83
2107,12,88
2108,3,69
2109,56,32
2110,7,37
2111,33,43
2112,66,44
2113,56,62
2114,4,32
2115,5,41
2116,27,55
2117,82,17
2118,68,5
2119,78,32
2120,62,68
2121,30,52
2122,68,59
2123,14,35
2124,16,72
2125,17,94
2126,45,71
2127,81,73
2128,19,81
2129,8,38
2130,95,53
2131,34,66
2132,51,40
2133,53,20
2134,30,33
2135,87,23
2136,23,81
2137,63,65
2138,94,85
2139,95,39
2140,57,82
